EJECUCIÓN DE GASTOS ALCALDÍA MUNICIPAL CHIQUIZA Del 01/01/2025 Al 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,CÓDIGO,DESCRIPCIÓN,ULT. NIVEL,FUENTE,DESCRIPCIÓN FTE.,FTE LEY 715,UNIDAD,SECTOR,PROGRAMA,PRODUCTO,DEPENDENCIA,BPIN,PTO. INICIAL,ADICIÓN,REDUCCIÓN,CRÉDITO,CONTRACRÉDITO,PTO. DEFINITIVO,DISPONIBILIDAD,CANCEL. C.D.P.,REGISTRO,CANCEL. C.R.P.,OBLIGACIONES,CANCEL. O.,PAGOS,SALDO DE APROPIACIÓN,SALDO DISPONIBLE,SALDO COMPROMISOS,SALDO OBLIGACIONES
4086,2.1.1.01.01.001.01.04,Sueldo Básico -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"15,108,695.00",0.00,0.00,0.00,0.00,"15,108,695.00","11,901,075.25","31,098.25","11,901,075.25","31,098.25","11,901,075.25","31,098.25","11,901,075.25","3,207,619.75",0.00,0.00,0.00
4087,2.1.1.01.01.001.01.05,Sueldo Básico -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"15,108,695.00",0.00,0.00,0.00,0.00,"15,108,695.00","11,901,075.25","31,098.25","11,901,075.25","31,098.25","11,901,075.25","31,098.25","11,901,075.25","3,207,619.75",0.00,0.00,0.00
4088,2.1.1.01.01.001.01.06,Sueldo Básico -Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"17,004,000.00",0.00,0.00,0.00,0.00,"17,004,000.00","12,526,800.00",0.00,"12,526,800.00",0.00,"12,526,800.00",0.00,"12,526,800.00","4,477,200.00",0.00,0.00,0.00
4089,2.1.1.01.01.001.04,SUBSIDIO DE ALIMENTACIÓN, No ,NA,N/A,,NA,,,,,,"13,302,828.00",0.00,0.00,"20,000.00",0.00,"13,322,828.00","10,624,859.96","21,713.04","10,624,859.96","21,713.04","10,624,859.96","21,713.04","10,624,859.96","2,697,968.04",0.00,0.00,0.00
4089,2.1.1.01.01.001.04.01,Subsidio De Alimentación - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"8,465,436.00",0.00,0.00,0.00,0.00,"8,465,436.00","7,059,844.02","16,770.98","7,059,844.02","16,770.98","7,059,844.02","16,770.98","7,059,844.02","1,405,591.98",0.00,0.00,0.00
4090,2.1.1.01.01.001.04.02,Subsidio De Alimentación - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"1,209,348.00",0.00,0.00,"20,000.00",0.00,"1,229,348.00","890,163.00",0.00,"890,163.00",0.00,"890,163.00",0.00,"890,163.00","339,185.00",0.00,0.00,0.00
4091,2.1.1.01.01.001.04.03,Subsidio De Alimentación - DEP: PERSONERIA, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,20. PERSONERIA,,"1,209,348.00",0.00,0.00,0.00,0.00,"1,209,348.00","851,651.44","2,452.56","851,651.44","2,452.56","851,651.44","2,452.56","851,651.44","357,696.56",0.00,0.00,0.00
4092,2.1.1.01.01.001.04.04,Subsidio De Alimentación -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"604,674.00",0.00,0.00,0.00,0.00,"604,674.00","476,304.75","1,244.75","476,304.75","1,244.75","476,304.75","1,244.75","476,304.75","128,369.25",0.00,0.00,0.00
4093,2.1.1.01.01.001.04.05,Subsidio De Alimentación -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"604,674.00",0.00,0.00,0.00,0.00,"604,674.00","476,304.75","1,244.75","476,304.75","1,244.75","476,304.75","1,244.75","476,304.75","128,369.25",0.00,0.00,0.00
4094,2.1.1.01.01.001.04.06,Subsidio De Alimentación Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,209,348.00",0.00,0.00,0.00,0.00,"1,209,348.00","870,592.00",0.00,"870,592.00",0.00,"870,592.00",0.00,"870,592.00","338,756.00",0.00,0.00,0.00
4095,2.1.1.01.01.001.05,AUXILIO DE TRANSPORTE, No ,NA,N/A,,NA,,,,,,"23,364,000.00",0.00,0.00,"7,178,667.00",0.00,"30,542,667.00","22,233,334.00",0.00,"22,233,334.00",0.00,"22,233,334.00",0.00,"22,233,334.00","8,309,333.00",0.00,0.00,0.00
4095,2.1.1.01.01.001.05.01,Auxilio De Transporte - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.1.0.00,INGRESOS CORRIENTES DE LIBRE DESTINACION, ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"14,868,000.00",0.00,0.00,0.00,0.00,"14,868,000.00","14,868,000.00",0.00,"14,868,000.00",0.00,"14,868,000.00",0.00,"14,868,000.00",0.00,0.00,0.00,0.00
4959,2.1.1.01.01.001.05.01,Auxilio De Transporte - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,0.00,0.00,0.00,"6,878,667.00",0.00,"6,878,667.00","258,667.00",0.00,"258,667.00",0.00,"258,667.00",0.00,"258,667.00","6,620,000.00",0.00,0.00,0.00
4096,2.1.1.01.01.001.05.02,Auxilio De Transporte - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"2,124,000.00",0.00,0.00,"300,000.00",0.00,"2,424,000.00","1,800,000.00",0.00,"1,800,000.00",0.00,"1,800,000.00",0.00,"1,800,000.00","624,000.00",0.00,0.00,0.00
4097,2.1.1.01.01.001.05.03,Auxilio Transporte - DEP: PERSONERIA, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,20. PERSONERIA,,"2,124,000.00",0.00,0.00,0.00,0.00,"2,124,000.00","1,726,667.00",0.00,"1,726,667.00",0.00,"1,726,667.00",0.00,"1,726,667.00","397,333.00",0.00,0.00,0.00
4098,2.1.1.01.01.001.05.04,Auxilio De Transporte -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,062,000.00",0.00,0.00,0.00,0.00,"1,062,000.00","910,000.00",0.00,"910,000.00",0.00,"910,000.00",0.00,"910,000.00","152,000.00",0.00,0.00,0.00
4099,2.1.1.01.01.001.05.05,Auxilio De Transporte -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,062,000.00",0.00,0.00,0.00,0.00,"1,062,000.00","910,000.00",0.00,"910,000.00",0.00,"910,000.00",0.00,"910,000.00","152,000.00",0.00,0.00,0.00
4100,2.1.1.01.01.001.05.06,Auxilio De Transporte -Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"2,124,000.00",0.00,0.00,0.00,0.00,"2,124,000.00","1,760,000.00",0.00,"1,760,000.00",0.00,"1,760,000.00",0.00,"1,760,000.00","364,000.00",0.00,0.00,0.00
4101,2.1.1.01.01.001.06,PRIMA DE SERVICIO, No ,NA,N/A,,NA,,,,,,"28,755,371.00",0.00,0.00,"1,688,135.00",0.00,"30,443,506.00","24,273,556.00",0.00,"24,273,556.00",0.00,"24,273,556.00",0.00,"24,273,556.00","6,169,950.00",0.00,0.00,0.00
4101,2.1.1.01.01.001.06.01,Prima De Servicio - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"17,144,154.00",0.00,0.00,"438,135.00",0.00,"17,582,289.00","17,582,288.00",0.00,"17,582,288.00",0.00,"17,582,288.00",0.00,"17,582,288.00",1.00,0.00,0.00,0.00
4102,2.1.1.01.01.001.06.02,Prima De Servicio - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"788,411.00",0.00,0.00,"650,000.00",0.00,"1,438,411.00","435,548.00",0.00,"435,548.00",0.00,"435,548.00",0.00,"435,548.00","1,002,863.00",0.00,0.00,0.00
4103,2.1.1.01.01.001.06.03,Prima De Servicio - DEP: PERSONERIA, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,20. PERSONERIA,,"8,672,487.00",0.00,0.00,0.00,0.00,"8,672,487.00","3,973,493.00",0.00,"3,973,493.00",0.00,"3,973,493.00",0.00,"3,973,493.00","4,698,994.00",0.00,0.00,0.00
4104,2.1.1.01.01.001.06.04,Prima De Servicio -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"680,954.00",0.00,0.00,"300,000.00",0.00,"980,954.00","929,522.50",0.00,"929,522.50",0.00,"929,522.50",0.00,"929,522.50","51,431.50",0.00,0.00,0.00
4105,2.1.1.01.01.001.06.05,Prima De Servicio -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"680,954.00",0.00,0.00,"300,000.00",0.00,"980,954.00","929,522.50",0.00,"929,522.50",0.00,"929,522.50",0.00,"929,522.50","51,431.50",0.00,0.00,0.00
4106,2.1.1.01.01.001.06.06,Prima De Servicio -Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"788,411.00",0.00,0.00,0.00,0.00,"788,411.00","423,182.00",0.00,"423,182.00",0.00,"423,182.00",0.00,"423,182.00","365,229.00",0.00,0.00,0.00
4107,2.1.1.01.01.001.07,BONIFICACIÓN POR SERVICIOS PRESTADOS, No ,NA,N/A,,NA,,,,,,"19,255,149.00",0.00,0.00,"500,000.00",0.00,"19,755,149.00","16,403,059.00",0.00,"16,403,059.00",0.00,"16,403,059.00",0.00,"16,403,059.00","3,352,090.00",0.00,0.00,0.00
4107,2.1.1.01.01.001.07.01,Bonificación Por Servicios Prestados - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"13,400,297.00",0.00,0.00,0.00,0.00,"13,400,297.00","11,671,881.00",0.00,"11,671,881.00",0.00,"11,671,881.00",0.00,"11,671,881.00","1,728,416.00",0.00,0.00,0.00
4108,2.1.1.01.01.001.07.02,Bonificación Por Servicios Prestados - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"708,500.00",0.00,0.00,"100,000.00",0.00,"808,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"808,500.00",0.00,0.00,0.00
4109,2.1.1.01.01.001.07.03,Bonificación Por Servicios Prestados - DEP: PERSONERIA, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,20. PERSONERIA,,"3,178,784.00",0.00,0.00,0.00,0.00,"3,178,784.00","3,120,457.00",0.00,"3,120,457.00",0.00,"3,120,457.00",0.00,"3,120,457.00","58,327.00",0.00,0.00,0.00
4110,2.1.1.01.01.001.07.04,Bonificación Por Servicios Prestados -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"629,529.00",0.00,0.00,"200,000.00",0.00,"829,529.00","805,360.50",0.00,"805,360.50",0.00,"805,360.50",0.00,"805,360.50","24,168.50",0.00,0.00,0.00
4111,2.1.1.01.01.001.07.05,Bonificación Por Servicios Prestados -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"629,539.00",0.00,0.00,"200,000.00",0.00,"829,539.00","805,360.50",0.00,"805,360.50",0.00,"805,360.50",0.00,"805,360.50","24,178.50",0.00,0.00,0.00
4112,2.1.1.01.01.001.07.06,Bonificación Por Servicios Prestados Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"708,500.00",0.00,0.00,0.00,0.00,"708,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"708,500.00",0.00,0.00,0.00
4113,2.1.1.01.01.001.08,PRESTACIONES SOCIALES, No ,NA,N/A,,NA,,,,,,"79,727,201.84",0.00,0.00,"759,350.00",0.00,"80,486,551.84","20,787,474.00",0.00,"20,787,474.00",0.00,"20,787,474.00",0.00,"20,787,474.00","59,699,077.84",0.00,0.00,0.00
4114,2.1.1.01.01.001.08.01,PRIMA DE NAVIDAD, No ,NA,N/A,,NA,,,,,,"53,589,939.84",0.00,0.00,"160,000.00",0.00,"53,749,939.84","907,919.00",0.00,"907,919.00",0.00,"907,919.00",0.00,"907,919.00","52,842,020.84",0.00,0.00,0.00
4114,2.1.1.01.01.001.08.01.01,Prima De Navidad - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"37,227,427.00",0.00,0.00,0.00,0.00,"37,227,427.00","203,151.00",0.00,"203,151.00",0.00,"203,151.00",0.00,"203,151.00","37,024,276.00",0.00,0.00,0.00
4115,2.1.1.01.01.001.08.01.02,Prima De Navidad - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"1,714,436.00",0.00,0.00,"160,000.00",0.00,"1,874,436.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,874,436.00",0.00,0.00,0.00
4116,2.1.1.01.01.001.08.01.03,Prima De Navidad - DEP: PERSONERIA, Si ,1.2.1.0.00,INGRESOS CORRIENTES DE LIBRE DESTINACION, ,U1,,, ,20. PERSONERIA,,"9,975,234.84",0.00,0.00,0.00,0.00,"9,975,234.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,975,234.84",0.00,0.00,0.00
4117,2.1.1.01.01.001.08.01.04,Prima De Navidad -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,479,353.00",0.00,0.00,0.00,0.00,"1,479,353.00","352,384.00",0.00,"352,384.00",0.00,"352,384.00",0.00,"352,384.00","1,126,969.00",0.00,0.00,0.00
4118,2.1.1.01.01.001.08.01.05,Prima De Navidad -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,479,353.00",0.00,0.00,0.00,0.00,"1,479,353.00","352,384.00",0.00,"352,384.00",0.00,"352,384.00",0.00,"352,384.00","1,126,969.00",0.00,0.00,0.00
4119,2.1.1.01.01.001.08.01.06,Prima De Navidad -Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"1,714,136.00",0.00,0.00,0.00,0.00,"1,714,136.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,714,136.00",0.00,0.00,0.00
4120,2.1.1.01.01.001.08.02,PRIMA DE VACACIONES, No ,NA,N/A,,NA,,,,,,"26,137,262.00",0.00,0.00,"599,350.00",0.00,"26,736,612.00","19,879,555.00",0.00,"19,879,555.00",0.00,"19,879,555.00",0.00,"19,879,555.00","6,857,057.00",0.00,0.00,0.00
4120,2.1.1.01.01.001.08.02.01,Prima De Vacaciones - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"18,125,267.00",0.00,0.00,0.00,0.00,"18,125,267.00","16,795,221.00",0.00,"16,795,221.00",0.00,"16,795,221.00",0.00,"16,795,221.00","1,330,046.00",0.00,0.00,0.00
4121,2.1.1.01.01.001.08.02.02,Prima De Vacaciones - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"859,371.00",0.00,0.00,"70,000.00",0.00,"929,371.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"929,371.00",0.00,0.00,0.00
4122,2.1.1.01.01.001.08.02.03,Prima De Vacaciones - DEP: PERSONERIA, Si ,1.2.1.0.00,INGRESOS CORRIENTES DE LIBRE DESTINACION, ,U1,,, ,20. PERSONERIA,,"4,836,487.00",0.00,0.00,0.00,0.00,"4,836,487.00","1,113,081.00",0.00,"1,113,081.00",0.00,"1,113,081.00",0.00,"1,113,081.00","3,723,406.00",0.00,0.00,0.00
4123,2.1.1.01.01.001.08.02.04,Prima De Vacaciones -Acueducto - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"728,383.00",0.00,0.00,"264,675.00",0.00,"993,058.00","985,626.50",0.00,"985,626.50",0.00,"985,626.50",0.00,"985,626.50","7,431.50",0.00,0.00,0.00
4124,2.1.1.01.01.001.08.02.05,Prima De Vacaciones -Alcantarillado - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"728,383.00",0.00,0.00,"264,675.00",0.00,"993,058.00","985,626.50",0.00,"985,626.50",0.00,"985,626.50",0.00,"985,626.50","7,431.50",0.00,0.00,0.00
4125,2.1.1.01.01.001.08.02.06,Prima De Vacaciones -Aseo - DEP: SERVICIOS PÚBLICOS, Si ,1.2.3.2.27,VENTA DE BIENES Y SERVICIOS CON DESTINACION ESPECIFICA LEGAL, ,USP,,, ,23. SERVICIOS PÚBLICOS,,"859,371.00",0.00,0.00,0.00,0.00,"859,371.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"859,371.00",0.00,0.00,0.00
4126,2.1.1.01.01.001.10,VIÁTICOS DE LOS FUNCIONARIOS EN COMISIÓN, No ,NA,N/A,,NA,,,,,,"20,047,800.80",0.00,0.00,"1,132,575.67",0.00,"21,180,376.47","17,275,400.00",0.00,"17,275,400.00",0.00,"17,275,400.00",0.00,"17,275,400.00","3,904,976.47",0.00,0.00,0.00
4127,2.1.1.01.01.001.10 ,Viáticos De Los Funcionarios En Comisión - DEP: PERSONERIA, Si ,1.2.1.0.00,INGRESOS CORRIENTES DE LIBRE DESTINACION, ,U1,,, ,20. PERSONERIA,,"12,047,800.80",0.00,0.00,0.00,0.00,"12,047,800.80","9,275,400.00",0.00,"9,275,400.00",0.00,"9,275,400.00",0.00,"9,275,400.00","2,772,400.80",0.00,0.00,0.00
4126,2.1.1.01.01.001.10 ,Viáticos De Los Funcionarios En Comisión - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"8,000,000.00",0.00,0.00,"1,132,575.67",0.00,"9,132,575.67","8,000,000.00",0.00,"8,000,000.00",0.00,"8,000,000.00",0.00,"8,000,000.00","1,132,575.67",0.00,0.00,0.00
4128,2.1.1.01.02,CONTRIBUCIONES INHERENTES A LA NÓMINA, No ,NA,N/A,,NA,,,,,,"251,149,989.37",0.00,0.00,"33,822,639.00","330,300.00","284,642,328.37","164,790,928.00",0.00,"164,790,928.00",0.00,"164,790,928.00",0.00,"164,790,928.00","119,851,400.37",0.00,0.00,0.00
